problem,method,rotation_error_deg,translation_error,loss,success_rot_le_5deg,trial
rwhe,ZNN-SVD,0.704830585866087,0.013993699536800366,0.00034174398626754657,1.0,5.0
axbycz,ZNN-SVD,0.8920367010676981,0.03007569420385346,0.00047557819986436046,1.0,5.0
hand_eye,ZNN-CORO,0.27592926690178665,0.02050409648654163,0.00043730427050856885,1.0,5.0
rwhe,ZNN-CORO,0.7048305876128796,0.013993699536800363,0.00034174398626647955,1.0,5.0
axbycz,ZNN-CORO,0.8920367024471061,0.030075694203853753,0.00047557819986594405,1.0,5.0
hand_eye,GNN-SVD,4.30524707355347,0.2433402183334097,0.020635416864991218,1.0,5.0
rwhe,GNN-SVD,13.429019154202031,0.21196192571464265,0.12001336064432899,0.0,5.0
axbycz,GNN-SVD,16.450261429685757,0.36553852919510815,0.2005648315924576,0.0,5.0
hand_eye,GNN-CORO,4.305247073839029,0.24334021833341832,0.020635416864971584,1.0,5.0
rwhe,GNN-CORO,13.42901915429269,0.2119619257146509,0.12001336064428332,0.0,5.0
axbycz,GNN-CORO,16.45026142975975,0.36553852919513397,0.20056483159235508,0.0,5.0
hand_eye,ZNN-SVD,0.24911333023800417,0.02023610236965629,0.0004065622592972176,1.0,6.0
rwhe,ZNN-SVD,0.4560786174828708,0.012056632703356206,0.0002453804260537115,1.0,6.0
axbycz,ZNN-SVD,0.8261537689382138,0.015373999423043723,0.0002764036865147461,1.0,6.0
hand_eye,ZNN-CORO,0.24911333518312137,0.02023610236965631,0.00040656225929390244,1.0,6.0
rwhe,ZNN-CORO,0.4560786201823502,0.0120566327033562,0.000245380426055235,1.0,6.0
axbycz,ZNN-CORO,0.8261537704267341,0.015373999423044024,0.00027640368651511346,1.0,6.0
hand_eye,GNN-SVD,2.496699774502376,0.33525860710101046,0.020471804380292634,1.0,6.0
rwhe,GNN-SVD,6.121028161159238,0.30596355814951426,0.1375408691897297,0.0,6.0
axbycz,GNN-SVD,12.81297320679062,0.39603367123823974,0.17795148204218472,0.0,6.0
hand_eye,GNN-CORO,2.4966997749953554,0.33525860710101496,0.020471804380277344,1.0,6.0
rwhe,GNN-CORO,6.121028161359803,0.30596355814952203,0.13754086918970457,0.0,6.0
axbycz,GNN-CORO,12.812973206886824,0.3960336712382408,0.1779514820419509,0.0,6.0
hand_eye,ZNN-SVD,0.880617352951867,0.020862285179764455,0.0005588360781516264,1.0,7.0
rwhe,ZNN-SVD,0.5555302034146673,0.031245728604309603,0.00040633223007008817,1.0,7.0
axbycz,ZNN-SVD,1.2083359349742446,0.031091004902731423,0.00037934228968843184,1.0,7.0
hand_eye,ZNN-CORO,0.8806173543508166,0.020862285179764465,0.0005588360781502162,1.0,7.0
rwhe,ZNN-CORO,0.5555302056322066,0.031245728604309606,0.00040633223006624825,1.0,7.0
axbycz,ZNN-CORO,1.2083359359920038,0.03109100490273172,0.0003793422896873576,1.0,7.0
hand_eye,GNN-SVD,6.41404880497166,0.516684119490984,0.023076170949522534,0.0,7.0
rwhe,GNN-SVD,11.490016580541338,0.15609046284411504,0.09151626034291704,0.0,7.0
axbycz,GNN-SVD,17.122137275758963,0.49801683927601303,0.5040295580648457,0.0,7.0
hand_eye,GNN-CORO,6.414048805166742,0.516684119490991,0.0230761709495003,0.0,7.0
rwhe,GNN-CORO,11.49001658064787,0.1560904628441309,0.09151626034286764,0.0,7.0
axbycz,GNN-CORO,17.122137275830266,0.49801683927605633,0.5040295580646112,0.0,7.0
hand_eye,ZNN-SVD,0.17426377496720014,0.009857731384128796,0.00022981692085475666,1.0,8.0
rwhe,ZNN-SVD,0.2973121763140874,0.02063146596857604,0.00037381681535327894,1.0,8.0
axbycz,ZNN-SVD,0.4737376458271388,0.02855585879794883,0.0006747573317609115,1.0,8.0
hand_eye,ZNN-CORO,0.1742637820363264,0.00985773138412881,0.00022981692085226283,1.0,8.0
rwhe,ZNN-CORO,0.29731218045262764,0.020631465968576047,0.00037381681535378483,1.0,8.0
axbycz,ZNN-CORO,0.47373764842753335,0.028555858797948055,0.000674757331757504,1.0,8.0
hand_eye,GNN-SVD,7.825501560861987,0.37756631104005384,0.06258459526856176,0.0,8.0
rwhe,GNN-SVD,14.627483983347997,0.16515509412035725,0.21466592581533736,0.0,8.0
axbycz,GNN-SVD,10.62207910213953,0.629263177793617,0.6477643646980386,0.0,8.0
hand_eye,GNN-CORO,7.825501561018496,0.3775663110400688,0.06258459526850511,0.0,8.0
rwhe,GNN-CORO,14.627483983431269,0.16515509412036425,0.21466592581525346,0.0,8.0
axbycz,GNN-CORO,10.622079102255066,0.6292631777936453,0.6477643646977993,0.0,8.0
hand_eye,ZNN-SVD,0.36018529911369174,0.019020663917297093,0.0003675868846167029,1.0,9.0
rwhe,ZNN-SVD,0.5115571764665632,0.014498068369071885,0.0002491749284544214,1.0,9.0
axbycz,ZNN-SVD,0.8524028235000287,0.021696598253183628,0.000518274780116721,1.0,9.0
hand_eye,ZNN-CORO,0.3601853025338726,0.019020663917297086,0.0003675868846162206,1.0,9.0
rwhe,ZNN-CORO,0.5115571788761394,0.014498068369071922,0.000249174928452699,1.0,9.0
axbycz,ZNN-CORO,0.8524028249452799,0.02169659825318337,0.0005182747801188256,1.0,9.0
hand_eye,GNN-SVD,16.600251754748438,0.08408648699614557,0.059973974645273355,0.0,9.0
rwhe,GNN-SVD,11.410573701510572,0.33913459637327753,0.17402616554452674,0.0,9.0
axbycz,GNN-SVD,6.785100969628333,0.5036951249530819,0.22904228059409176,0.0,9.0
hand_eye,GNN-CORO,16.60025175482258,0.08408648699615451,0.059973974645250616,0.0,9.0
