method,mean_rotation_error_deg,mean_translation_error,mean_loss,success_rate_rot_le_5deg
GNN-CORO,10.721590999093399,0.33779423550069076,0.17379822992439653,0.14583333333333334
GNN-SVD,10.721590998863764,0.33779423550067744,0.1737982299244805,0.14583333333333334
ZNN-CORO,0.6357796449480401,0.020425377878879665,0.00040078233178161,1.0
ZNN-SVD,0.6357796423108043,0.02042537787887959,0.0004007823317824069,1.0
