problem,method,trial,iteration,loss,residual_norm,mass_condition
hand_eye,ZNN-SVD,0.0,0.0,0.05790593599388703,0.6196389802926536,6.151787198296073
hand_eye,ZNN-SVD,0.0,1.0,0.052391043136305805,0.5894366937706901,6.151787198296073
hand_eye,ZNN-SVD,0.0,2.0,0.047395605269982516,0.5606659065948587,6.151787198296073
hand_eye,ZNN-SVD,0.0,3.0,0.04287218374413928,0.5332669421780195,6.151787198296073
hand_eye,ZNN-SVD,0.0,4.0,0.03877739295202167,0.5071815281187156,6.151787198296073
hand_eye,ZNN-SVD,0.0,5.0,0.03507160657644944,0.48235293894837017,6.151787198296073
hand_eye,ZNN-SVD,0.0,6.0,0.03171867486517527,0.45872610505474465,6.151787198296073
hand_eye,ZNN-SVD,0.0,7.0,0.028685654810761487,0.4362476924764777,6.151787198296073
hand_eye,ZNN-SVD,0.0,8.0,0.025942554462017733,0.4148661577720806,6.151787198296073
hand_eye,ZNN-SVD,0.0,9.0,0.023462092074874014,0.39453178170092507,6.151787198296073
hand_eye,ZNN-SVD,0.0,10.0,0.02121947040038268,0.3751966850189965,6.151787198296073
hand_eye,ZNN-SVD,0.0,11.0,0.019192166088820285,0.35681482929146324,6.151787198296073
hand_eye,ZNN-SVD,0.0,12.0,0.017359733946107594,0.33934200525859115,6.151787198296073
hand_eye,ZNN-SVD,0.0,13.0,0.015703625598496255,0.3227358109609864,6.151787198296073
hand_eye,ZNN-SVD,0.0,14.0,0.01420702199208342,0.3069556215334352,6.151787198296073
hand_eye,ZNN-SVD,0.0,15.0,0.01285467906534187,0.29196255231193696,6.151787198296073
hand_eye,ZNN-SVD,0.0,16.0,0.011632785877175485,0.2777194166637457,6.151787198296073
hand_eye,ZNN-SVD,0.0,17.0,0.010528834443078052,0.2641906797429706,6.151787198296073
hand_eye,ZNN-SVD,0.0,18.0,0.009531500522039776,0.2513424091920588,6.151787198296073
hand_eye,ZNN-SVD,0.0,19.0,0.00863053460217457,0.2391422236499416,6.151787198296073
hand_eye,ZNN-SVD,0.0,20.0,0.007816662349787501,0.22755923978834044,6.151787198296073
hand_eye,ZNN-SVD,0.0,21.0,0.007081493811643579,0.2165640184765813,6.151787198296073
hand_eye,ZNN-SVD,0.0,22.0,0.006417440691047564,0.20612851057013315,6.151787198296073
hand_eye,ZNN-SVD,0.0,23.0,0.005817641053012599,0.19622600272717525,6.151787198296073
hand_eye,ZNN-SVD,0.0,24.0,0.005275890850729916,0.18683106357904075,6.151787198296073
hand_eye,ZNN-SVD,0.0,25.0,0.004786581703545697,0.177919490512927,6.151787198296073
hand_eye,ZNN-SVD,0.0,26.0,0.004344644394776216,0.1694682572674723,6.151787198296073
hand_eye,ZNN-SVD,0.0,27.0,0.003945497595262026,0.16145546249246975,6.151787198296073
hand_eye,ZNN-SVD,0.0,28.0,0.003585001355060386,0.1538602793822115,6.151787198296073
hand_eye,ZNN-SVD,0.0,29.0,0.0032594149407465765,0.14666290645682123,6.151787198296073
hand_eye,ZNN-SVD,0.0,30.0,0.0029653586291919416,0.13984451953680366,6.151787198296073
hand_eye,ZNN-SVD,0.0,31.0,0.0026997791002584745,0.13338722493234367,6.151787198296073
hand_eye,ZNN-SVD,0.0,32.0,0.002459918100512958,0.1272740138502391,6.151787198296073
hand_eye,ZNN-SVD,0.0,33.0,0.002243284077792943,0.12148871800738426,6.151787198296073
hand_eye,ZNN-SVD,0.0,34.0,0.0020476265122643888,0.11601596643030503,6.151787198296073
hand_eye,ZNN-SVD,0.0,35.0,0.001870912693540593,0.11084114341518822,6.151787198296073
hand_eye,ZNN-SVD,0.0,36.0,0.0017113067155509981,0.10595034762209866,6.151787198296073
hand_eye,ZNN-SVD,0.0,37.0,0.0015671504812355926,0.10133035228057777,6.151787198296073
hand_eye,ZNN-SVD,0.0,38.0,0.0014369465278870638,0.09696856649148496,6.151787198296073
hand_eye,ZNN-SVD,0.0,39.0,0.0013193425011647421,0.0928529976216298,6.151787198296073
hand_eye,ZNN-SVD,0.0,40.0,0.0012131171215588887,0.0889722148032095,6.151787198296073
hand_eye,ZNN-SVD,0.0,41.0,0.0011171675014905497,0.08531531356886254,6.151787198296073
hand_eye,ZNN-SVD,0.0,42.0,0.0010304976843867606,0.08187188167462192,6.151787198296073
hand_eye,ZNN-SVD,0.0,43.0,0.0009522082890675399,0.0786319661862818,6.151787198296073
hand_eye,ZNN-SVD,0.0,44.0,0.000881487153709192,0.07558604192842246,6.151787198296073
hand_eye,ZNN-SVD,0.0,45.0,0.0008176008835938438,0.07272498141804615,6.151787198296073
hand_eye,ZNN-SVD,0.0,46.0,0.0007598872158975571,0.07004002642463142,6.151787198296073
hand_eye,ZNN-SVD,0.0,47.0,0.0007077481229850386,0.06752276131339233,6.151787198296073
hand_eye,ZNN-SVD,0.0,48.0,0.000660643583138095,0.06516508833654899,6.151787198296073
hand_eye,ZNN-SVD,0.0,49.0,0.0006180859544127323,0.06295920503650422,6.151787198296073
hand_eye,ZNN-SVD,0.0,50.0,0.0005796348934577149,0.060897583913291545,6.151787198296073
hand_eye,ZNN-SVD,0.0,51.0,0.0005448927666893652,0.05897295448547822,6.151787198296073
hand_eye,ZNN-SVD,0.0,52.0,0.0005135005062601957,0.05717828783844607,6.151787198296073
