trial,method,time,tracking_error_fro,x11,x12,x21,x22,x11_true,x12_true,x21_true,x22_true
0.0,ZNN-linear,0.0,2.3194827009486403,1.4,-1.3,0.7,1.8,-0.0,-1.0,1.0,0.0
0.0,ZNN-linear,0.01,2.2964045508188144,1.393,-1.2790000000000001,0.689,1.7950000000000002,0.009999833334166664,-0.9999500004166653,0.9999500004166654,0.009999833334166664
0.0,ZNN-linear,0.02,2.273556011901134,1.3860599983333417,-1.2582595000041668,0.6781795000041666,1.7899399983333417,0.019998666693333084,-0.9998000066665778,0.9998000066665779,0.019998666693333084
0.0,ZNN-linear,0.03,2.250934799701701,1.3791811800169833,-1.2377755050874575,0.6675351050874573,1.7848231800169834,0.02999550020249566,-0.9995500337489874,0.9995500337489875,0.029995500202495657
0.0,ZNN-linear,0.04,2.228538652456399,1.372364674269713,-1.217545018573903,0.6570634425739027,1.779652658269713,0.03998933418663417,-0.9992001066609779,0.999200106660978,0.03998933418663417
0.0,ZNN-linear,0.05,2.2063653309047497,1.3656115552946213,-1.1975650428720765,0.6467611624720764,1.7744314752146213,0.049979169270678324,-0.9987502603949662,0.9987502603949661,0.049979169270678324
0.0,ZNN-linear,0.06,2.1844126180660135,1.3589228430591027,-1.1778325802951592,0.6366249378983591,1.7691626025839027,0.059964006479444595,-0.9982005399352042,0.9982005399352042,0.059964006479444595
0.0,ZNN-linear,0.07,2.162678319017521,1.3522995040722898,-1.1583446338657206,0.6266514654881364,1.7638489424258097,0.06994284733753277,-0.9975510002532796,0.9975510002532796,0.06994284733753277
0.0,ZNN-linear,0.08,2.1411602606752056,1.3457424521598236,-1.139098208105338,0.6168374657950649,1.7584933278135841,0.0799146939691727,-0.9968017063026193,0.9968017063026194,0.0799146939691727
0.0,ZNN-linear,0.09,2.119856291576326,1.3392525492358678,-1.120090309809175,0.6071796836785422,1.7530985235561933,0.08987854919801104,-0.9959527330119942,0.9959527330119943,0.08987854919801104
0.0,ZNN-linear,0.1,2.0987642816643466,1.3328306060722745,-1.1013179488056413,0.5976748886795181,1.7476672269107032,0.09983341664682814,-0.9950041652780257,0.9950041652780257,0.09983341664682814
0.0,ZNN-linear,0.11,2.077882122075957,1.3264773830648153,-1.082778138701258,0.5883198753847805,1.7422020682961208,0.10977830083717481,-0.9939560979566968,0.9939560979566968,0.10977830083717481
0.0,ZNN-linear,0.12,2.0572077249302154,1.3201935909963867,-1.0644678976108513,0.5791114637798515,1.736705612008544,0.11971220728891936,-0.9928086358538663,0.9928086358538663,0.11971220728891936
0.0,ZNN-linear,0.13,2.0367390231197833,1.3139798917971106,-1.046384248873196,0.5700464995906277,1.7311803569374562,0.12963414261969483,-0.9915618937147881,0.991561893714788,0.12963414261969483
0.0,ZNN-linear,0.14,2.016473970104244,1.3078368993012428,-1.0285242217522375,0.5611218546138982,1.7256287372830106,0.1395431146442365,-0.9902159962126372,0.9902159962126372,0.1395431146442365
0.0,ZNN-linear,0.15,1.9964105397054739,1.3017651800008117,-1.0108848521240112,0.5523344270368732,1.7200531232741452,0.14943813247359922,-0.9887710779360424,0.9887710779360422,0.14943813247359922
0.0,ZNN-linear,0.16,1.9765467259050502,1.2957652537959083,-0.9934631831493901,0.5436811417458568,1.7144558218873798,0.159318206614246,-0.987227283375627,0.987227283375627,0.159318206614246
0.0,ZNN-linear,0.17,1.9568805426436744,1.2898375947415504,-0.9762562659327787,0.5351589506241954,1.7088390775661424,0.169182349066996,-0.9855847669095607,0.9855847669095607,0.169182349066996
0.0,ZNN-linear,0.18,1.9374100236225913,1.2839826317910468,-0.9592611601668851,0.5267648328396335,1.7032050729404786,0.17902957342582415,-0.9838436927881213,0.9838436927881213,0.17902957342582415
0.0,ZNN-linear,0.19,1.9181332221069842,1.2782007495357908,-0.9424749347636927,0.5184957951212079,1.6975559295470009,0.18885889497650057,-0.9820042351172703,0.9820042351172704,0.1888588949765006
0.0,ZNN-linear,0.2,1.8990482107313282,1.2724922889414099,-0.9258946684717585,0.5103488720258106,1.6918937085489327,0.19866933079506122,-0.9800665778412416,0.9800665778412415,0.1986693307950612
0.0,ZNN-linear,0.21,1.8801530813066745,1.2668575480802045,-0.909517450479964,0.5023211261945508,1.6862204114561117,0.20845989984609956,-0.9780309147241483,0.9780309147241483,0.20845989984609956
0.0,ZNN-linear,0.22,1.861445944629858,1.261296782859809,-0.8933403810078447,0.49440964859904474,1.680537980844811,0.21822962308086932,-0.9758974493306055,0.9758974493306055,0.21822962308086932
0.0,ZNN-linear,0.23,1.8429249302946014,1.25581020774801,-0.8773605718826243,0.48661155877776224,1.6748483010772501,0.22797752353518838,-0.9736663950053748,0.9736663950053748,0.22797752353518838
0.0,ZNN-linear,0.24,1.8245881865044966,1.2503979964936593,-0.8615751471030793,0.4789240050625583,1.6691531990206558,0.23770262642713455,-0.9713379748520296,0.9713379748520296,0.23770262642713452
