method,mean_final_tracking_error_fro,mean_tracking_error_fro
GNN-linear,0.9925323496134171,1.0490118459044095
GNN-power-sigmoid,1.4039810518308558,1.4096968533370398
ZNN-linear,0.01587014454889159,0.27533013485711955
ZNN-power-sigmoid,0.4377564331356152,0.7918258478435023
