trial,method,final_tracking_error_fro,mean_tracking_error_fro
0.0,ZNN-linear,0.015965820378534643,0.2355150362207302
0.0,ZNN-power-sigmoid,0.4287987227096485,0.6950136769456414
0.0,GNN-linear,0.9926128242753385,1.0119054825722922
0.0,GNN-power-sigmoid,1.4039857570566778,1.3850637970198552
1.0,ZNN-linear,0.015807026094352875,0.24350433744377323
1.0,ZNN-power-sigmoid,0.4390804991829214,0.7669351161761666
1.0,GNN-linear,0.9924539089473621,1.0984128463224077
1.0,GNN-power-sigmoid,1.4039843012291622,1.4707565538175562
2.0,ZNN-linear,0.015837587173787263,0.3469710309068552
2.0,ZNN-power-sigmoid,0.4453900775142756,0.9135287504086991
2.0,GNN-linear,0.9925303156175509,1.0367172088185286
2.0,GNN-power-sigmoid,1.4039730972067268,1.3732702091737083
