trial,method,rotation_error_x_deg,translation_error_x,worst_rotation_error_deg,worst_translation_error,final_loss,success_rot_le_5deg
0.0,ZNN-CORO,0.5659259441100414,0.010449972938129168,0.5659259441100414,0.010449972938129168,0.0004423957898641603,1.0
0.0,GNN-CORO,15.072905831917579,0.2763028171735808,15.072905831917579,0.2763028171735808,0.06970601512121262,0.0
1.0,ZNN-CORO,0.4781637471772942,0.016563506279188896,0.4781637471772942,0.016563506279188896,0.0004882476111518496,1.0
1.0,GNN-CORO,6.314128829331162,0.2736854262765072,6.314128829331162,0.2736854262765072,0.047511137863885076,0.0
2.0,ZNN-CORO,0.42218122422912246,0.01394066403162635,0.42218122422912246,0.01394066403162635,0.00018291001979450867,1.0
2.0,GNN-CORO,0.5550493279440599,0.35502667116326175,0.5550493279440599,0.35502667116326175,0.02975617287279816,1.0
3.0,ZNN-CORO,0.7311439765255937,0.004391033166832914,0.7311439765255937,0.004391033166832914,0.0005212842570410824,1.0
3.0,GNN-CORO,11.199125451598507,0.41552416462703273,11.199125451598507,0.41552416462703273,0.09452185368826087,0.0
4.0,ZNN-CORO,0.4520785334558343,0.025382316443252655,0.4520785334558343,0.025382316443252655,0.0006637829989050047,1.0
4.0,GNN-CORO,16.940093862613033,0.295908221488528,16.940093862613033,0.295908221488528,0.0569862612419336,0.0
5.0,ZNN-CORO,0.3894379120873832,0.006927392342891454,0.3894379120873832,0.006927392342891454,0.0004462040246164219,1.0
5.0,GNN-CORO,12.042181463640599,0.47439269306816156,12.042181463640599,0.47439269306816156,0.11158550311304995,0.0
6.0,ZNN-CORO,0.4341263164745727,0.009288761702269579,0.4341263164745727,0.009288761702269579,0.0003151872083023589,1.0
6.0,GNN-CORO,9.09521876644432,0.10103946955391231,9.09521876644432,0.10103946955391231,0.017403176704685084,0.0
7.0,ZNN-CORO,0.2161868979628066,0.010106542212527837,0.2161868979628066,0.010106542212527837,0.0004991811504934443,1.0
7.0,GNN-CORO,12.882317138332153,0.37399580266568344,12.882317138332153,0.37399580266568344,0.03905893184240481,0.0
8.0,ZNN-CORO,0.2611953336237531,0.010906099859817147,0.2611953336237531,0.010906099859817147,0.00027615690298725355,1.0
8.0,GNN-CORO,13.92789795602932,0.10819099043612351,13.92789795602932,0.10819099043612351,0.05331747942855778,0.0
9.0,ZNN-CORO,0.3514442106554368,0.011141731192361443,0.3514442106554368,0.011141731192361443,0.00020774363318693188,1.0
9.0,GNN-CORO,1.2281637771740155,0.26276518343065236,1.2281637771740155,0.26276518343065236,0.012954057692882699,1.0
10.0,ZNN-CORO,0.7292290049676333,0.02316648372690609,0.7292290049676333,0.02316648372690609,0.0003572453800749606,1.0
10.0,GNN-CORO,18.109561845519224,0.220350541401697,18.109561845519224,0.220350541401697,0.07881005527635679,0.0
11.0,ZNN-CORO,0.8273859989686726,0.05213094327120817,0.8273859989686726,0.05213094327120817,0.00046401049046735477,1.0
11.0,GNN-CORO,13.006969341482899,0.23438091469989153,13.006969341482899,0.23438091469989153,0.048992185953381756,0.0
12.0,ZNN-CORO,0.8314345651786318,0.013845729025711467,0.8314345651786318,0.013845729025711467,0.0003681773074501289,1.0
12.0,GNN-CORO,9.751724920981493,0.128847106802247,9.751724920981493,0.128847106802247,0.016817223120669286,0.0
13.0,ZNN-CORO,0.711632366329472,0.012546737703741638,0.711632366329472,0.012546737703741638,0.0003380701931345101,1.0
13.0,GNN-CORO,8.989751880964047,0.2603909940108061,8.989751880964047,0.2603909940108061,0.04048830933400924,0.0
14.0,ZNN-CORO,0.2645467631222481,0.018273436613614222,0.2645467631222481,0.018273436613614222,0.000517513966539851,1.0
14.0,GNN-CORO,7.190334791610167,0.2089005245067286,7.190334791610167,0.2089005245067286,0.027570376109861055,0.0
15.0,ZNN-CORO,0.342578685169587,0.011581100238431829,0.342578685169587,0.011581100238431829,0.00042637527434213717,1.0
15.0,GNN-CORO,0.8303492983246475,0.28454333980802893,0.8303492983246475,0.28454333980802893,0.025871393358334716,1.0
16.0,ZNN-CORO,0.6152357486370401,0.009933871872632932,0.6152357486370401,0.009933871872632932,0.00045682858344803923,1.0
16.0,GNN-CORO,11.126190880132683,0.14270475017347084,11.126190880132683,0.14270475017347084,0.04027300638136765,0.0
17.0,ZNN-CORO,0.31287522827362396,0.019679787884991688,0.31287522827362396,0.019679787884991688,0.00042986653496832186,1.0
17.0,GNN-CORO,10.19476606469801,0.5640521969951149,10.19476606469801,0.5640521969951149,0.028641507687872395,0.0
18.0,ZNN-CORO,0.2628193206381502,0.007496767543823823,0.2628193206381502,0.007496767543823823,0.0004000474145562641,1.0
18.0,GNN-CORO,12.719173878530526,0.2243680197665054,12.719173878530526,0.2243680197665054,0.05147741927188693,0.0
19.0,ZNN-CORO,0.39956280242370545,0.010671743762402848,0.39956280242370545,0.010671743762402848,0.0003433502458831828,1.0
19.0,GNN-CORO,8.782267950693798,0.3286868033102583,8.782267950693798,0.3286868033102583,0.0762352068580001,0.0
20.0,ZNN-CORO,0.28020029489577686,0.009620025920264381,0.28020029489577686,0.009620025920264381,0.00046732871712021405,1.0
20.0,GNN-CORO,4.7852286897918415,0.38417241684324044,4.7852286897918415,0.38417241684324044,0.0639522281589542,1.0
21.0,ZNN-CORO,0.5901771390410778,0.010282561793147363,0.5901771390410778,0.010282561793147363,0.0002952532575139976,1.0
21.0,GNN-CORO,14.52680043097991,0.42855388444570797,14.52680043097991,0.42855388444570797,0.06488937700620302,0.0
22.0,ZNN-CORO,0.8280326177978006,0.016570770349842313,0.8280326177978006,0.016570770349842313,0.0005572140098241629,1.0
22.0,GNN-CORO,1.5532258321939705,0.2818375022974129,1.5532258321939705,0.2818375022974129,0.017875004448053053,1.0
23.0,ZNN-CORO,0.4472891793180375,0.017159747199995436,0.4472891793180375,0.017159747199995436,0.0004935922739398368,1.0
23.0,GNN-CORO,9.024317942262961,0.052685429443559875,9.024317942262961,0.052685429443559875,0.014995053728023405,0.0
24.0,ZNN-CORO,0.26768249959060936,0.017166312421804223,0.26768249959060936,0.017166312421804223,0.00026782970725498133,1.0
24.0,GNN-CORO,12.831613043463937,0.21610240399817118,12.831613043463937,0.21610240399817118,0.047684593793255035,0.0
25.0,ZNN-CORO,1.316542174609344,0.026647467550020197,1.316542174609344,0.026647467550020197,0.0003940335427335538,1.0
25.0,GNN-CORO,6.28165951376519,0.3148411799219973,6.28165951376519,0.3148411799219973,0.026518835444705846,0.0
26.0,ZNN-CORO,0.5764054134515854,0.009372405673312626,0.5764054134515854,0.009372405673312626,0.0004479808343750491,1.0
26.0,GNN-CORO,1.2737673111871997,0.1750349614937734,1.2737673111871997,0.1750349614937734,0.008157464868233306,1.0
27.0,ZNN-CORO,0.48957625174358793,0.007433037659846379,0.48957625174358793,0.007433037659846379,0.00038707062321490237,1.0
27.0,GNN-CORO,12.107179098727563,0.04093080139850188,12.107179098727563,0.04093080139850188,0.053932275773688594,0.0
28.0,ZNN-CORO,0.6026018399978771,0.012568296907238425,0.6026018399978771,0.012568296907238425,0.0003544060998561589,1.0
28.0,GNN-CORO,9.22681533893789,0.211058535599338,9.22681533893789,0.211058535599338,0.019399051889235634,0.0
29.0,ZNN-CORO,0.05748979905300044,0.004704490191290313,0.05748979905300044,0.004704490191290313,0.00035772867452425527,1.0
29.0,GNN-CORO,3.8981508055124663,0.4134111341385748,3.8981508055124663,0.4134111341385748,0.04662675538985623,1.0
30.0,ZNN-CORO,0.3646842312581198,0.017495589606142125,0.3646842312581198,0.017495589606142125,0.0003992666702347402,1.0
30.0,GNN-CORO,7.396028958955961,0.28064223857402737,7.396028958955961,0.28064223857402737,0.019954176641814324,0.0
31.0,ZNN-CORO,0.7670038735451647,0.020399735832882755,0.7670038735451647,0.020399735832882755,0.0002826505115367314,1.0
31.0,GNN-CORO,13.617934208627021,0.36947160715139754,13.617934208627021,0.36947160715139754,0.03041709548539782,0.0
32.0,ZNN-CORO,0.3372724130447894,0.013187378656694922,0.3372724130447894,0.013187378656694922,0.00018653758791010262,1.0
32.0,GNN-CORO,11.105820179485963,0.7415591137589748,11.105820179485963,0.7415591137589748,0.14687956153115586,0.0
33.0,ZNN-CORO,0.9116308180592791,0.002801508977123405,0.9116308180592791,0.002801508977123405,0.0005038730720582303,1.0
33.0,GNN-CORO,5.127759089439635,0.34679238834104625,5.127759089439635,0.34679238834104625,0.0376096897892745,0.0
34.0,ZNN-CORO,0.09912216161970687,0.003668106626212991,0.09912216161970687,0.003668106626212991,0.000423727689850321,1.0
34.0,GNN-CORO,0.18360625356950425,0.15966707840168498,0.18360625356950425,0.15966707840168498,0.00865163645919924,1.0
35.0,ZNN-CORO,0.20014090547814592,0.008764256959287575,0.20014090547814592,0.008764256959287575,0.0005955728507457178,1.0
35.0,GNN-CORO,16.891973827738607,0.22107949610908983,16.891973827738607,0.22107949610908983,0.12625054455008497,0.0
36.0,ZNN-CORO,0.6035421101492485,0.01620304659193534,0.6035421101492485,0.01620304659193534,0.0006127318583995437,1.0
36.0,GNN-CORO,0.3177296373133007,0.15797046922441513,0.3177296373133007,0.15797046922441513,0.0077328257572478855,1.0
37.0,ZNN-CORO,0.14140927002557113,0.01194827952809518,0.14140927002557113,0.01194827952809518,0.0009433651227173634,1.0
37.0,GNN-CORO,7.388137127142703,0.33501157615275223,7.388137127142703,0.33501157615275223,0.059608629752830135,0.0
