trial,method,rotation_error_x_deg,translation_error_x,rotation_error_y_deg,translation_error_y,rotation_error_z_deg,translation_error_z,worst_rotation_error_deg,worst_translation_error,final_loss,success_rot_le_5deg
0.0,ZNN-CORO,0.5836143453655461,0.03150274698147451,0.8747354121189291,0.024202919896449324,0.600826300598077,0.015194433427270867,0.8747354121189291,0.03150274698147451,0.0007206672989900475,1.0
0.0,GNN-CORO,1.9104783445066276,0.3035916009203062,7.60908012139466,0.2330752566405794,8.41936556579884,0.27957245520805973,8.41936556579884,0.3035916009203062,0.34256808290105395,0.0
1.0,ZNN-CORO,0.29829537052587124,0.0245127380849312,0.3393650340428778,0.01397999175010726,0.1369529285095405,0.01574354289091224,0.3393650340428778,0.0245127380849312,0.00071388721600738,1.0
1.0,GNN-CORO,12.312193636917094,0.3453379864547742,12.346877032424157,0.38104930996496295,1.5587621897562283,0.15707427243060484,12.346877032424157,0.38104930996496295,0.16325789470733976,0.0
2.0,ZNN-CORO,0.13004150028544928,0.016634845017047418,0.5771249157652052,0.019756556277605534,0.5836779681259866,0.022358153827408144,0.5836779681259866,0.022358153827408144,0.0010365551107151835,1.0
2.0,GNN-CORO,10.067781018752845,0.275434125858278,7.665049713213076,0.33328383520895444,3.471336733971788,0.13638143323539728,10.067781018752845,0.33328383520895444,0.15417593947922364,0.0
3.0,ZNN-CORO,0.30289308671135945,0.02647121858330369,0.6977309380885168,0.0058840994406105865,0.616095707539707,0.027687242829921913,0.6977309380885168,0.027687242829921913,0.00036608073867233274,1.0
3.0,GNN-CORO,6.7805624486337965,0.25123299087235357,15.314791613050005,0.13082025726938531,2.774615344399492,0.1198673657663389,15.314791613050005,0.25123299087235357,0.19833960189983985,0.0
4.0,ZNN-CORO,0.9485759677961267,0.0341775772553453,0.7532196925508763,0.015995452579401055,0.7594759880848774,0.03921917160464787,0.9485759677961267,0.03921917160464787,0.0002943444396182177,1.0
4.0,GNN-CORO,7.990546803801716,0.28265015938381843,9.587401905393238,0.048186909285036286,7.206756273732415,0.2843341775464915,9.587401905393238,0.2843341775464915,0.15747565832013352,0.0
