method,mean_rotation_error_x_deg,median_rotation_error_x_deg,std_rotation_error_x_deg,mean_translation_error_x,median_translation_error_x,std_translation_error_x,mean_rotation_error_y_deg,median_rotation_error_y_deg,std_rotation_error_y_deg,mean_translation_error_y,median_translation_error_y,std_translation_error_y,mean_worst_rotation_error_deg,median_worst_rotation_error_deg,std_worst_rotation_error_deg,mean_worst_translation_error,median_worst_translation_error,std_worst_translation_error,mean_final_loss,median_final_loss,std_final_loss,rate_success_rot_le_5deg
GNN-CORO,8.244906786621415,8.249848157100011,4.438316343495277,0.2528188559541116,0.2425309793021988,0.11035927660636308,7.712524178444219,7.535846311957802,4.398729360834251,0.25604423584565067,0.24421571774040185,0.11503146647578895,10.243423264262283,10.831009101361971,4.033873923103793,0.31239604452827846,0.2956034931682944,0.10561974649392218,0.15946240549833937,0.14843114113401593,0.09139632225814216,0.125
ZNN-CORO,0.4755987765933274,0.4092497780147718,0.2532745358401101,0.016441199830218765,0.01398653632059486,0.009755853652542118,0.4439664915269,0.3999012028896203,0.23540318644908856,0.016437680109579224,0.014167944896558437,0.009467729994687587,0.5188862550544242,0.45467386679632055,0.2435660174089912,0.018563580365354566,0.016415117109587284,0.009871412318920955,0.00035992062639525057,0.00034046360655390286,0.0001472212993815766,1.0
