problem,method,mean_worst_rotation_error_deg,median_worst_rotation_error_deg,std_worst_rotation_error_deg,mean_worst_translation_error,median_worst_translation_error,std_worst_translation_error,mean_final_loss,median_final_loss,rate_success_rot_le_5deg
Hand-eye,GNN-CORO,9.538481339167342,10.027645683050334,5.223821082298331,0.2895432686859337,0.274994121725044,0.13390346251098334,0.04938633597185072,0.04020948272176071,0.25833333333333336
Hand-eye,ZNN-CORO,0.4484794647352561,0.4115634418540086,0.21440279254017283,0.013366157891655251,0.011764689883263504,0.007841578438944235,0.0003974744669932139,0.00038649946330381496,1.0
Robot-world / hand-eye,GNN-CORO,10.243423264262283,10.831009101361971,4.033873923103793,0.31239604452827846,0.2956034931682944,0.10561974649392218,0.15946240549833937,0.14843114113401593,0.125
Robot-world / hand-eye,ZNN-CORO,0.5188862550544242,0.45467386679632055,0.2435660174089912,0.018563580365354566,0.016415117109587284,0.009871412318920955,0.00035992062639525057,0.00034046360655390286,1.0
Hand-eye / robot-world / tool-flange,GNN-CORO,13.071430449812063,13.960928277938395,3.3626005364682254,0.3770899837636216,0.3757268702562122,0.1052430358007556,0.28949785161397085,0.2585490126067831,0.016666666666666666
Hand-eye / robot-world / tool-flange,ZNN-CORO,0.8883045222657883,0.801447046241146,0.3830061732295711,0.027197677326318077,0.024536207425649714,0.014776323303058685,0.0005270880306699827,0.0005074637302734756,1.0
