problem,trial,method,iteration,loss,residual_norm,mass_condition
hand_eye,0.0,ZNN-CORO,0.0,0.07762048439610642,0.7165668593135346,4.235203014394833
hand_eye,0.0,ZNN-CORO,1.0,0.07038933118636541,0.6824389396690655,4.235203014394833
hand_eye,0.0,ZNN-CORO,2.0,0.06382126459364633,0.6498738239983146,4.235203014394833
hand_eye,0.0,ZNN-CORO,3.0,0.05785799047134676,0.6188114313438933,4.235203014394833
hand_eye,0.0,ZNN-CORO,4.0,0.05244590553061538,0.5891926194616498,4.235203014394833
hand_eye,0.0,ZNN-CORO,5.0,0.04753579654321539,0.560959386394142,4.235203014394833
hand_eye,0.0,ZNN-CORO,6.0,0.04308254439953016,0.534055033923745,4.235203014394833
hand_eye,0.0,ZNN-CORO,7.0,0.03904483625445367,0.5084242976070096,4.235203014394833
hand_eye,0.0,ZNN-CORO,8.0,0.03538488815541888,0.4840134476713659,4.235203014394833
hand_eye,0.0,ZNN-CORO,9.0,0.03206817985311732,0.46077036464220794,4.235203014394833
hand_eye,0.0,ZNN-CORO,10.0,0.029063202927964344,0.43864459317162907,4.235203014394833
hand_eye,0.0,ZNN-CORO,11.0,0.026341222906599755,0.4175873771652899,4.235203014394833
hand_eye,0.0,ZNN-CORO,12.0,0.02387605567665484,0.3975516789545713,4.235203014394833
hand_eye,0.0,ZNN-CORO,13.0,0.021643858220242684,0.3784921849390408,4.235203014394833
hand_eye,0.0,ZNN-CORO,14.0,0.019622933464366565,0.3603652998298478,4.235203014394833
hand_eye,0.0,ZNN-CORO,15.0,0.017793548878518667,0.3431291313575684,4.235203014394833
hand_eye,0.0,ZNN-CORO,16.0,0.016137768326494828,0.32674346706722696,4.235203014394833
hand_eye,0.0,ZNN-CORO,17.0,0.014639296592608578,0.31116974460729463,4.235203014394833
hand_eye,0.0,ZNN-CORO,18.0,0.013283335945017157,0.2963710167267567,4.235203014394833
hand_eye,0.0,ZNN-CORO,19.0,0.012056454064858725,0.2823119120230369,4.235203014394833
hand_eye,0.0,ZNN-CORO,20.0,0.010946462654390773,0.26895859233189107,4.235203014394833
hand_eye,0.0,ZNN-CORO,21.0,0.009942306036206924,0.256278707516533,4.235203014394833
hand_eye,0.0,ZNN-CORO,22.0,0.009033959065505375,0.24424134829557742,4.235203014394833
hand_eye,0.0,ZNN-CORO,23.0,0.008212333695515849,0.23281699764628921,4.235203014394833
hand_eye,0.0,ZNN-CORO,24.0,0.007469193560309904,0.22197748122972988,4.235203014394833
hand_eye,0.0,ZNN-CORO,25.0,0.006797075967507671,0.21169591720640107,4.235203014394833
hand_eye,0.0,ZNN-CORO,26.0,0.00618922072440211,0.2019466657438196,4.235203014394833
hand_eye,0.0,ZNN-CORO,27.0,0.0056395052536023825,0.19270527846017257,4.235203014394833
hand_eye,0.0,ZNN-CORO,28.0,0.00514238548755485,0.18394844800001522,4.235203014394833
hand_eye,0.0,ZNN-CORO,29.0,0.004692842064539713,0.17565395789827537,4.235203014394833
hand_eye,0.0,ZNN-CORO,30.0,0.004286331381441879,0.16780063285708513,4.235203014394833
hand_eye,0.0,ZNN-CORO,31.0,0.003918741090363779,0.16036828953584076,4.235203014394833
hand_eye,0.0,ZNN-CORO,32.0,0.0035863496567106706,0.15333768793803648,4.235203014394833
hand_eye,0.0,ZNN-CORO,33.0,0.0032857896255392006,0.1466904834686423,4.235203014394833
hand_eye,0.0,ZNN-CORO,34.0,0.003014014270598007,0.14040917973279107,4.235203014394833
hand_eye,0.0,ZNN-CORO,35.0,0.002768267326535469,0.13447708215003792,4.235203014394833
hand_eye,0.0,ZNN-CORO,36.0,0.0025460555291788364,0.12887825246802817,4.235203014394833
hand_eye,0.0,ZNN-CORO,37.0,0.0023451237116066588,0.12359746427444625,4.235203014394833
hand_eye,0.0,ZNN-CORO,38.0,0.002163432224974294,0.1186201596257565,4.235203014394833
hand_eye,0.0,ZNN-CORO,39.0,0.0019991364727585175,0.11393240693431234,4.235203014394833
hand_eye,0.0,ZNN-CORO,40.0,0.001850568365322618,0.10952086028036441,4.235203014394833
hand_eye,0.0,ZNN-CORO,41.0,0.0017162195185387787,0.1053727203403979,4.235203014394833
hand_eye,0.0,ZNN-CORO,42.0,0.001594726035713978,0.10147569714583227,4.235203014394833
hand_eye,0.0,ZNN-CORO,43.0,0.001484854726328105,0.09781797490381743,4.235203014394833
hand_eye,0.0,ZNN-CORO,44.0,0.0013854906281863457,0.09438817912200996,4.235203014394833
hand_eye,0.0,ZNN-CORO,45.0,0.0012956257115910846,0.09117534627912345,4.235203014394833
hand_eye,0.0,ZNN-CORO,46.0,0.0012143486551274595,0.08816889627043373,4.235203014394833
hand_eye,0.0,ZNN-CORO,47.0,0.0011408355927054637,0.08535860783052146,4.235203014394833
hand_eye,0.0,ZNN-CORO,48.0,0.001074341740680709,0.08273459709355441,4.235203014394833
hand_eye,0.0,ZNN-CORO,49.0,0.0010141938222528997,0.08028729939463815,4.235203014394833
hand_eye,0.0,ZNN-CORO,50.0,0.0009597832139795433,0.07800745434583417,4.235203014394833
hand_eye,0.0,ZNN-CORO,51.0,0.0009105597462016251,0.07588609414034474,4.235203014394833
hand_eye,0.0,ZNN-CORO,52.0,0.0008660260955144302,0.07391453495226603,4.235203014394833
hand_eye,0.0,ZNN-CORO,53.0,0.0008257327131819949,0.07208437121239648,4.235203014394833
hand_eye,0.0,ZNN-CORO,54.0,0.0007892732386363808,0.07038747245847062,4.235203014394833
hand_eye,0.0,ZNN-CORO,55.0,0.0007562803519682911,0.06881598238649429,4.235203014394833
hand_eye,0.0,ZNN-CORO,56.0,0.000726422023644063,0.06736231967361092,4.235203014394833
hand_eye,0.0,ZNN-CORO,57.0,0.0006993981236151572,0.06601918010596904,4.235203014394833
hand_eye,0.0,ZNN-CORO,58.0,0.0006749373555539362,0.06477953952978475,4.235203014394833
hand_eye,0.0,ZNN-CORO,59.0,0.0006527944851869379,0.06363665715076193,4.235203014394833
hand_eye,0.0,ZNN-CORO,60.0,0.0006327478346332742,0.06258407873510341,4.235203014394833
hand_eye,0.0,ZNN-CORO,61.0,0.000614597017318375,0.06161563931178218,4.235203014394833
hand_eye,0.0,ZNN-CORO,62.0,0.0005981608904469727,0.060725465036591125,4.235203014394833
hand_eye,0.0,ZNN-CORO,63.0,0.0005832757042066838,0.05990797394906491,4.235203014394833
hand_eye,0.0,ZNN-CORO,64.0,0.0005697934288556029,0.05915787542872129,4.235203014394833
hand_eye,0.0,ZNN-CORO,65.0,0.0005575802426425145,0.05847016823247237,4.235203014394833
hand_eye,0.0,ZNN-CORO,66.0,0.0005465151651345028,0.057840137066358065,4.235203014394833
hand_eye,0.0,ZNN-CORO,67.0,0.0005364888219990444,0.057263347708695955,4.235203014394833
hand_eye,0.0,ZNN-CORO,68.0,0.0005274023286207069,0.056735640756003354,4.235203014394833
hand_eye,0.0,ZNN-CORO,69.0,0.0005191662811391138,0.05625312410634842,4.235203014394833
