trial,method,rotation_error_x_deg,translation_error_x,rotation_error_y_deg,translation_error_y,worst_rotation_error_deg,worst_translation_error,final_loss,success_rot_le_5deg
0.0,ZNN-CORO,0.6815790343348005,0.005159328451354662,0.42256055921398833,0.009348472248998506,0.6815790343348005,0.009348472248998506,0.0003542703593761688,1.0
0.0,GNN-CORO,6.693357976861378,0.2967331477112257,13.495604708018126,0.3309227410497789,13.495604708018126,0.3309227410497789,0.30701489329632436,0.0
1.0,ZNN-CORO,0.48119816106589813,0.01224120270059098,0.6670245596719007,0.010337990085015568,0.6670245596719007,0.01224120270059098,0.00047353290716394735,1.0
1.0,GNN-CORO,10.960797315393554,0.12310883680284071,2.17906276684491,0.09069271090377093,10.960797315393554,0.12310883680284071,0.058506077049391696,0.0
2.0,ZNN-CORO,0.7016952339557532,0.0563589164056442,0.5572397658371574,0.05320100692806196,0.7016952339557532,0.0563589164056442,0.00027510086569659456,1.0
2.0,GNN-CORO,5.7293327495459465,0.2898056397839068,6.777445529679156,0.2110094082092228,6.777445529679156,0.2898056397839068,0.031028675152356074,0.0
3.0,ZNN-CORO,0.35071397009609717,0.016512435576997192,0.6800482836349954,0.013587092334189806,0.6800482836349954,0.016512435576997192,0.0002773194598220053,1.0
3.0,GNN-CORO,9.118038671431105,0.037019742725124115,10.481907292391446,0.24418113809603467,10.481907292391446,0.24418113809603467,0.1332175727547677,0.0
4.0,ZNN-CORO,0.19269451448309075,0.016050169285154865,0.19904623335440444,0.01645168766751213,0.19904623335440444,0.01645168766751213,0.0004140737389472383,1.0
4.0,GNN-CORO,11.673178168380595,0.27419031010612743,12.987977116976237,0.2817652072330041,12.987977116976237,0.2817652072330041,0.35944264207131704,0.0
5.0,ZNN-CORO,0.7829701181895646,0.009455814871377845,0.32817437058196036,0.013206165909418331,0.7829701181895646,0.013206165909418331,0.0005255414268803578,1.0
5.0,GNN-CORO,7.000500719050425,0.4388376715944055,9.854258010821418,0.33253174057742113,9.854258010821418,0.4388376715944055,0.12149074675290937,0.0
6.0,ZNN-CORO,0.4305615995725224,0.010168290353358159,0.1966129300933633,0.01809098109163443,0.4305615995725224,0.01809098109163443,0.0003482733224552915,1.0
6.0,GNN-CORO,13.144704480936593,0.30805914014177777,14.903571722243138,0.32786092716070303,14.903571722243138,0.32786092716070303,0.10384548738010706,0.0
7.0,ZNN-CORO,0.19598637493670967,0.016976884469566546,0.455050754359233,0.01514200413511854,0.455050754359233,0.016976884469566546,0.00021877956147860005,1.0
7.0,GNN-CORO,12.736387565250823,0.45210705693072445,8.946161360624393,0.14883579232481003,12.736387565250823,0.45210705693072445,0.45548017152645565,0.0
8.0,ZNN-CORO,0.7116210866897764,0.011675818935153275,0.45745717478248876,0.010811637737890113,0.7116210866897764,0.011675818935153275,0.00044087190941815186,1.0
8.0,GNN-CORO,14.149960378803994,0.08123424014757276,6.8515074669935245,0.3221440129778544,14.149960378803994,0.3221440129778544,0.1710589898580812,0.0
9.0,ZNN-CORO,0.1829542915593266,0.03114355285051602,0.3386565760066776,0.024014866010851052,0.3386565760066776,0.03114355285051602,0.0001449915942680589,1.0
9.0,GNN-CORO,3.081371802035287,0.25609195302951804,12.688413694706322,0.13030647513233776,12.688413694706322,0.25609195302951804,0.137025035600831,0.0
10.0,ZNN-CORO,0.27459169293146957,0.018924487566446217,0.30184807277633025,0.01137477181156643,0.30184807277633025,0.018924487566446217,0.0002578084164817108,1.0
10.0,GNN-CORO,8.139476410927694,0.2769444140382461,12.892351748835559,0.2478277972504203,12.892351748835559,0.2769444140382461,0.25541197618507444,0.0
